master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20210101T220543_20210101T220613_035950_043606_67BE,S1A_IW_SLC__1SDV_20210101T220543_20210101T220613_035950_043606_67BE-SLC,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220611_20210101T220639_035950_043606_A7D0,S1A_IW_SLC__1SDV_20210101T220611_20210101T220639_035950_043606_A7D0-SLC,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220637_20210101T220704_035950_043606_AC61,S1A_IW_SLC__1SDV_20210101T220637_20210101T220704_035950_043606_AC61-SLC,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220702_20210101T220728_035950_043606_9702,S1A_IW_SLC__1SDV_20210101T220702_20210101T220728_035950_043606_9702-SLC,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220726_20210101T220753_035950_043606_EC29,S1A_IW_SLC__1SDV_20210101T220726_20210101T220753_035950_043606_EC29-SLC,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0,S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0-SLC,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220816_20210101T220844_035950_043606_C853,S1A_IW_SLC__1SDV_20210101T220816_20210101T220844_035950_043606_C853-SLC,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220842_20210101T220909_035950_043606_B9AB,S1A_IW_SLC__1SDV_20210101T220842_20210101T220909_035950_043606_B9AB-SLC,S1A_IW_SLC__1SDV_20210125T220542_20210125T220612_036300_044247_70DA,S1A_IW_SLC__1SDV_20210125T220542_20210125T220612_036300_044247_70DA-SLC,23,3
S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4-SLC,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220610_20210113T220638_036125_043C3B_54C3,S1A_IW_SLC__1SDV_20210113T220610_20210113T220638_036125_043C3B_54C3-SLC,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B-SLC,S1A_IW_SLC__1SDV_20210125T220636_20210125T220703_036300_044247_FFCA,S1A_IW_SLC__1SDV_20210125T220636_20210125T220703_036300_044247_FFCA-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674-SLC,S1A_IW_SLC__1SDV_20210125T220701_20210125T220727_036300_044247_34E6,S1A_IW_SLC__1SDV_20210125T220701_20210125T220727_036300_044247_34E6-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761,S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807-SLC,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220815_20210113T220843_036125_043C3B_887F,S1A_IW_SLC__1SDV_20210113T220815_20210113T220843_036125_043C3B_887F-SLC,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303-SLC,S1A_IW_SLC__1SDV_20210125T220841_20210125T220908_036300_044247_7DCB,S1A_IW_SLC__1SDV_20210125T220841_20210125T220908_036300_044247_7DCB-SLC,12,3
S1A_IW_SLC__1SDV_20210102T102622_20210102T102650_035957_043649_8108,S1A_IW_SLC__1SDV_20210102T102622_20210102T102650_035957_043649_8108-SLC,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A-SLC,12,10
S1A_IW_SLC__1SDV_20210102T102648_20210102T102715_035957_043649_6F09,S1A_IW_SLC__1SDV_20210102T102648_20210102T102715_035957_043649_6F09-SLC,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF-SLC,12,10
S1A_IW_SLC__1SDV_20210102T102712_20210102T102730_035957_043649_6DAF,S1A_IW_SLC__1SDV_20210102T102712_20210102T102730_035957_043649_6DAF-SLC,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF-SLC,12,10
