master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20210606T220545_20210606T220615_038225_0482DA_01C9,S1A_IW_SLC__1SDV_20210606T220545_20210606T220615_038225_0482DA_01C9-SLC,S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C,S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C-SLC,12,3
S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C,S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C-SLC,S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D,S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D-SLC,12,3
S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D,S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D-SLC,S1A_IW_SLC__1SDV_20210712T220547_20210712T220617_038750_049294_6257,S1A_IW_SLC__1SDV_20210712T220547_20210712T220617_038750_049294_6257-SLC,12,3
S1A_IW_SLC__1SDV_20210630T220614_20210630T220642_038575_048D4A_14D3,S1A_IW_SLC__1SDV_20210630T220614_20210630T220642_038575_048D4A_14D3-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220640_20210630T220707_038575_048D4A_6464,S1A_IW_SLC__1SDV_20210630T220640_20210630T220707_038575_048D4A_6464-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220705_20210630T220732_038575_048D4A_FC48,S1A_IW_SLC__1SDV_20210630T220705_20210630T220732_038575_048D4A_FC48-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220730_20210630T220757_038575_048D4A_A095,S1A_IW_SLC__1SDV_20210630T220730_20210630T220757_038575_048D4A_A095-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220755_20210630T220821_038575_048D4A_2323,S1A_IW_SLC__1SDV_20210630T220755_20210630T220821_038575_048D4A_2323-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220819_20210630T220847_038575_048D4A_7B1F,S1A_IW_SLC__1SDV_20210630T220819_20210630T220847_038575_048D4A_7B1F-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
S1A_IW_SLC__1SDV_20210630T220845_20210630T220912_038575_048D4A_DB86,S1A_IW_SLC__1SDV_20210630T220845_20210630T220912_038575_048D4A_DB86-SLC,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,23,3
