master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C,S1A_IW_SLC__1SDV_20210618T220546_20210618T220616_038400_04880E_417C-SLC,S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D,S1A_IW_SLC__1SDV_20210630T220547_20210630T220616_038575_048D4A_DB5D-SLC,12,3,61.147364983943625,12
S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9,S1A_IW_SLC__1SDV_20210724T220548_20210724T220618_038925_0497CF_59A9-SLC,S1A_IW_SLC__1SDV_20210805T220549_20210805T220619_039100_049D2A_3CE4,S1A_IW_SLC__1SDV_20210805T220549_20210805T220619_039100_049D2A_3CE4-SLC,12,3,69.98460084445101,12
S1A_IW_SLC__1SDV_20210724T220616_20210724T220644_038925_0497CF_9F9A,S1A_IW_SLC__1SDV_20210724T220616_20210724T220644_038925_0497CF_9F9A-SLC,S1A_IW_SLC__1SDV_20210805T220616_20210805T220644_039100_049D2A_4568,S1A_IW_SLC__1SDV_20210805T220616_20210805T220644_039100_049D2A_4568-SLC,12,3,66.02587383832365,12
S1A_IW_SLC__1SDV_20210724T220641_20210724T220708_038925_0497CF_1F48,S1A_IW_SLC__1SDV_20210724T220641_20210724T220708_038925_0497CF_1F48-SLC,S1A_IW_SLC__1SDV_20210805T220642_20210805T220709_039100_049D2A_A979,S1A_IW_SLC__1SDV_20210805T220642_20210805T220709_039100_049D2A_A979-SLC,12,3,69.83184446332893,12
S1A_IW_SLC__1SDV_20210724T220706_20210724T220733_038925_0497CF_5143,S1A_IW_SLC__1SDV_20210724T220706_20210724T220733_038925_0497CF_5143-SLC,S1A_IW_SLC__1SDV_20210805T220707_20210805T220734_039100_049D2A_B949,S1A_IW_SLC__1SDV_20210805T220707_20210805T220734_039100_049D2A_B949-SLC,12,3,65.7433741353689,12
S1A_IW_SLC__1SDV_20210724T220731_20210724T220758_038925_0497CF_6807,S1A_IW_SLC__1SDV_20210724T220731_20210724T220758_038925_0497CF_6807-SLC,S1A_IW_SLC__1SDV_20210805T220732_20210805T220759_039100_049D2A_6FE2,S1A_IW_SLC__1SDV_20210805T220732_20210805T220759_039100_049D2A_6FE2-SLC,12,3,69.50641796356246,12
S1A_IW_SLC__1SDV_20210724T220756_20210724T220823_038925_0497CF_E928,S1A_IW_SLC__1SDV_20210724T220756_20210724T220823_038925_0497CF_E928-SLC,S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418,S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418-SLC,12,3,65.27528944000262,12
S1A_IW_SLC__1SDV_20210724T220821_20210724T220849_038925_0497CF_D0EC,S1A_IW_SLC__1SDV_20210724T220821_20210724T220849_038925_0497CF_D0EC-SLC,S1A_IW_SLC__1SDV_20210805T220821_20210805T220849_039100_049D2A_E13D,S1A_IW_SLC__1SDV_20210805T220821_20210805T220849_039100_049D2A_E13D-SLC,12,3,69.00997138085343,12
S1A_IW_SLC__1SDV_20210724T220847_20210724T220913_038925_0497CF_E53D,S1A_IW_SLC__1SDV_20210724T220847_20210724T220913_038925_0497CF_E53D-SLC,S1A_IW_SLC__1SDV_20210805T220847_20210805T220914_039100_049D2A_604D,S1A_IW_SLC__1SDV_20210805T220847_20210805T220914_039100_049D2A_604D-SLC,12,3,64.62294982717584,12
S1A_IW_SLC__1SDV_20210805T220616_20210805T220644_039100_049D2A_4568,S1A_IW_SLC__1SDV_20210805T220616_20210805T220644_039100_049D2A_4568-SLC,S1A_IW_SLC__1SDV_20210817T220617_20210817T220645_039275_04A339_F9CC,S1A_IW_SLC__1SDV_20210817T220617_20210817T220645_039275_04A339_F9CC-SLC,12,3,15.0939060992216,12
